sample_id,exp_id,assay_id,assay_index,global_index,label,magnification,channel_name,sequence,z_plane,well_diameter_um,x_fov,y_fov,r_fov,x,y,r,filepath
5738_0000_004079,exp-20260310120827-5738,assay-20260310120944-3366,0,4079,live,4.0,BF,0,0,30.0,3465.0,521.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004079.png
5738_0000_004091,exp-20260310120827-5738,assay-20260310120944-3366,0,4091,dead,4.0,BF,0,0,30.0,3318.0,572.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004091.png
5738_0000_004094,exp-20260310120827-5738,assay-20260310120944-3366,0,4094,dead,4.0,BF,0,0,30.0,3494.0,572.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004094.png
5738_0000_004104,exp-20260310120827-5738,assay-20260310120944-3366,0,4104,live,4.0,BF,0,0,30.0,4080.0,571.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004104.png
5738_0000_004110,exp-20260310120827-5738,assay-20260310120944-3366,0,4110,dead,4.0,BF,0,0,30.0,3582.0,623.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004110.png
5738_0000_004113,exp-20260310120827-5738,assay-20260310120944-3366,0,4113,dead,4.0,BF,0,0,30.0,3758.0,623.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004113.png
5738_0000_004114,exp-20260310120827-5738,assay-20260310120944-3366,0,4114,live,4.0,BF,0,0,30.0,3816.0,623.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004114.png
5738_0000_004125,exp-20260310120827-5738,assay-20260310120944-3366,0,4125,dead,4.0,BF,0,0,30.0,3612.0,673.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004125.png
5738_0000_004143,exp-20260310120827-5738,assay-20260310120944-3366,0,4143,live,4.0,BF,0,0,30.0,3816.0,724.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004143.png
5738_0000_004160,exp-20260310120827-5738,assay-20260310120944-3366,0,4160,live,4.0,BF,0,0,30.0,3963.0,774.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004160.png
5738_0000_004175,exp-20260310120827-5738,assay-20260310120944-3366,0,4175,live,4.0,BF,0,0,30.0,3992.0,825.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004175.png
5738_0000_004182,exp-20260310120827-5738,assay-20260310120944-3366,0,4182,live,4.0,BF,0,0,30.0,3552.0,877.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004182.png
5738_0000_004211,exp-20260310120827-5738,assay-20260310120944-3366,0,4211,dead,4.0,BF,0,0,30.0,3552.0,977.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004211.png
5738_0000_004218,exp-20260310120827-5738,assay-20260310120944-3366,0,4218,live,4.0,BF,0,0,30.0,3963.0,977.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004218.png
5738_0000_004277,exp-20260310120827-5738,assay-20260310120944-3366,0,4277,live,4.0,BF,0,0,30.0,4989.0,469.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004277.png
5738_0000_004280,exp-20260310120827-5738,assay-20260310120944-3366,0,4280,live,4.0,BF,0,0,30.0,4314.0,520.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004280.png
5738_0000_004285,exp-20260310120827-5738,assay-20260310120944-3366,0,4285,live,4.0,BF,0,0,30.0,4608.0,520.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004285.png
5738_0000_004288,exp-20260310120827-5738,assay-20260310120944-3366,0,4288,live,4.0,BF,0,0,30.0,4784.0,520.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004288.png
5738_0000_004306,exp-20260310120827-5738,assay-20260310120944-3366,0,4306,live,4.0,BF,0,0,30.0,4989.0,571.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004306.png
5738_0000_004312,exp-20260310120827-5738,assay-20260310120944-3366,0,4312,dead,4.0,BF,0,0,30.0,4491.0,622.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004312.png
5738_0000_004318,exp-20260310120827-5738,assay-20260310120944-3366,0,4318,dead,4.0,BF,0,0,30.0,4843.0,622.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004318.png
5738_0000_004330,exp-20260310120827-5738,assay-20260310120944-3366,0,4330,live,4.0,BF,0,0,30.0,4696.0,672.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004330.png
5738_0000_004331,exp-20260310120827-5738,assay-20260310120944-3366,0,4331,live,4.0,BF,0,0,30.0,4754.0,672.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004331.png
5738_0000_004343,exp-20260310120827-5738,assay-20260310120944-3366,0,4343,live,4.0,BF,0,0,30.0,4608.0,723.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004343.png
5738_0000_004355,exp-20260310120827-5738,assay-20260310120944-3366,0,4355,live,4.0,BF,0,0,30.0,4461.0,774.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004355.png
5738_0000_004364,exp-20260310120827-5738,assay-20260310120944-3366,0,4364,dead,4.0,BF,0,0,30.0,4989.0,773.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004364.png
5738_0000_004366,exp-20260310120827-5738,assay-20260310120944-3366,0,4366,dead,4.0,BF,0,0,30.0,4256.0,825.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004366.png
5738_0000_004370,exp-20260310120827-5738,assay-20260310120944-3366,0,4370,live,4.0,BF,0,0,30.0,4491.0,825.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004370.png
5738_0000_004374,exp-20260310120827-5738,assay-20260310120944-3366,0,4374,live,4.0,BF,0,0,30.0,4725.0,825.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004374.png
5738_0000_004381,exp-20260310120827-5738,assay-20260310120944-3366,0,4381,live,4.0,BF,0,0,30.0,4285.0,876.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004381.png
5738_0000_004391,exp-20260310120827-5738,assay-20260310120944-3366,0,4391,live,4.0,BF,0,0,30.0,4872.0,876.0,21.0,112.0,112.0,52.266666666666666,images/5738_0000_004391.png
