sample_id,filepath,label,exp_id,mean_intensity,std_intensity,dynamic_range,pct_zero,sharpness,outlier_mean_intensity,outlier_std_intensity,outlier_dynamic_range,outlier_pct_zero,outlier_sharpness,n_outlier_metrics,outlier_in
5738_0000_004079,images/5738_0000_004079.png,live,exp-20260310120827-5738,216.29383609619427,70.38199315761727,255.0,1.085687602148027,674.478316475678,True,True,False,True,True,4,"mean_intensity,std_intensity,pct_zero,sharpness"
5738_0000_004091,images/5738_0000_004091.png,dead,exp-20260310120827-5738,223.4013079192918,30.54295546346599,255.0,0.18741526437514952,368.5944674164929,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_004094,images/5738_0000_004094.png,dead,exp-20260310120827-5738,246.48803732355051,27.15386968031265,255.0,0.1814339261504107,211.98782061553078,True,False,False,False,False,1,mean_intensity
5738_0000_004104,images/5738_0000_004104.png,live,exp-20260310120827-5738,223.39948540997668,29.632188102263676,255.0,0.19147535752039413,213.10939949455684,True,False,False,False,False,1,mean_intensity
5738_0000_004110,images/5738_0000_004110.png,dead,exp-20260310120827-5738,225.1137188434696,28.854934197569673,255.0,0.19142572283150547,271.83852345418956,True,False,False,False,False,1,mean_intensity
5738_0000_004113,images/5738_0000_004113.png,dead,exp-20260310120827-5738,241.9921255133368,27.160899156623064,255.0,0.1814122243929668,207.08311319900128,True,False,False,False,False,1,mean_intensity
5738_0000_004114,images/5738_0000_004114.png,live,exp-20260310120827-5738,228.46345839480085,30.54458776310316,255.0,0.19137992902994297,210.19393118050016,True,False,False,False,False,1,mean_intensity
5738_0000_004125,images/5738_0000_004125.png,dead,exp-20260310120827-5738,218.71575438176228,28.489968713501973,255.0,0.18365472910927455,260.29969751236484,True,False,False,False,False,1,mean_intensity
5738_0000_004143,images/5738_0000_004143.png,live,exp-20260310120827-5738,242.35606196542855,27.46095401187162,255.0,0.1834240484877485,251.29542172462342,True,False,False,False,False,1,mean_intensity
5738_0000_004160,images/5738_0000_004160.png,live,exp-20260310120827-5738,227.87121363291695,27.986430789807635,255.0,0.17759508321028056,201.42438256998608,True,False,False,False,False,1,mean_intensity
5738_0000_004175,images/5738_0000_004175.png,live,exp-20260310120827-5738,248.69885763272794,25.699501322009564,255.0,0.18142307462269983,181.984101369003,True,False,False,False,False,1,mean_intensity
5738_0000_004182,images/5738_0000_004182.png,live,exp-20260310120827-5738,238.37196690260194,27.987074428574743,255.0,0.1914066394178048,245.34313745594986,True,False,False,False,False,1,mean_intensity
5738_0000_004211,images/5738_0000_004211.png,dead,exp-20260310120827-5738,238.15571596642008,28.96601510026214,255.0,0.19342359767891684,260.402599971591,True,False,False,False,False,1,mean_intensity
5738_0000_004218,images/5738_0000_004218.png,live,exp-20260310120827-5738,240.55205965625873,29.032410482095273,255.0,0.173465725565259,210.05161465064305,True,False,False,False,False,1,mean_intensity
5738_0000_004277,images/5738_0000_004277.png,live,exp-20260310120827-5738,233.75127642600717,25.225332794737913,255.0,0.17550857598723574,238.1686963335321,True,False,False,False,False,1,mean_intensity
5738_0000_004280,images/5738_0000_004280.png,live,exp-20260310120827-5738,250.5934129468291,26.11420523047995,255.0,0.18541039494407782,295.27021986271075,True,False,False,False,False,1,mean_intensity
5738_0000_004285,images/5738_0000_004285.png,live,exp-20260310120827-5738,245.8380189017825,27.611876446392014,255.0,0.20337360928340711,305.06440772472143,True,False,False,False,False,1,mean_intensity
5738_0000_004288,images/5738_0000_004288.png,live,exp-20260310120827-5738,214.5849580503396,22.95927697879381,255.0,0.1797842588893328,128.9202226310863,True,False,False,False,False,1,mean_intensity
5738_0000_004306,images/5738_0000_004306.png,live,exp-20260310120827-5738,250.7396801340087,25.313051259032036,255.0,0.17947593028357198,141.94229893772754,True,False,False,False,False,1,mean_intensity
5738_0000_004312,images/5738_0000_004312.png,dead,exp-20260310120827-5738,235.05464949358003,27.078130688999508,255.0,0.18342770555865698,248.20735166066396,True,False,False,False,False,1,mean_intensity
5738_0000_004318,images/5738_0000_004318.png,dead,exp-20260310120827-5738,237.58945983130945,28.63830071635218,255.0,0.19142190584435007,182.65017525583102,True,False,False,False,False,1,mean_intensity
5738_0000_004330,images/5738_0000_004330.png,live,exp-20260310120827-5738,246.7864377716633,26.80195829034509,255.0,0.17545958447980223,219.23214236132875,True,False,False,False,False,1,mean_intensity
5738_0000_004331,images/5738_0000_004331.png,live,exp-20260310120827-5738,238.5338477797053,25.814676549229667,255.0,0.18344599310083548,302.26419173392907,True,False,False,False,False,1,mean_intensity
5738_0000_004343,images/5738_0000_004343.png,live,exp-20260310120827-5738,247.9713727522826,26.378936093642675,255.0,0.17742514253817632,320.82973040035836,True,False,False,False,False,1,mean_intensity
5738_0000_004355,images/5738_0000_004355.png,live,exp-20260310120827-5738,239.3869372782009,28.54997246049825,255.0,0.17743929183779258,190.56889007832234,True,False,False,False,False,1,mean_intensity
5738_0000_004364,images/5738_0000_004364.png,dead,exp-20260310120827-5738,234.13355665889014,27.769626379539428,255.0,0.18543997128671413,228.83432164385897,True,False,False,False,False,1,mean_intensity
5738_0000_004366,images/5738_0000_004366.png,dead,exp-20260310120827-5738,251.2120813397129,24.143677901054655,255.0,0.1854066985645933,346.86985447300833,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_004370,images/5738_0000_004370.png,live,exp-20260310120827-5738,230.6945153570004,27.052638155772154,255.0,0.1834862385321101,117.29158541870645,True,False,False,False,False,1,mean_intensity
5738_0000_004374,images/5738_0000_004374.png,live,exp-20260310120827-5738,250.45940826986723,26.44089700890084,255.0,0.183420391562662,221.26271196379844,True,False,False,False,False,1,mean_intensity
5738_0000_004381,images/5738_0000_004381.png,live,exp-20260310120827-5738,236.46319819729993,27.40575150423461,255.0,0.1794723512872156,259.23461562624703,True,False,False,False,False,1,mean_intensity
5738_0000_004391,images/5738_0000_004391.png,live,exp-20260310120827-5738,243.39179409477862,26.869994047714144,255.0,0.19338503558683387,233.69283659435405,True,False,False,False,False,1,mean_intensity
5738_0000_004394,images/5738_0000_004394.png,live,exp-20260310120827-5738,241.73309537578018,25.22257952013435,255.0,0.1814592514307364,207.03244201979447,True,False,False,False,False,1,mean_intensity
5738_0000_004401,images/5738_0000_004401.png,dead,exp-20260310120827-5738,225.56189165469922,29.408118626732033,255.0,0.19147917663954045,150.18554518942608,True,False,False,False,False,1,mean_intensity
5738_0000_004438,images/5738_0000_004438.png,live,exp-20260310120827-5738,234.55269558975994,29.266592050853472,255.0,0.18741526437514952,196.06939687396596,True,False,False,False,False,1,mean_intensity
5738_0000_004444,images/5738_0000_004444.png,dead,exp-20260310120827-5738,237.96983781842846,26.91474997429639,255.0,0.1855213549043468,280.7234981737805,True,False,False,False,False,1,mean_intensity
5738_0000_008612,images/5738_0000_008612.png,live,exp-20260310120827-5738,246.8440778713049,26.47662689215807,255.0,0.18151354370287628,347.298462761753,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_008687,images/5738_0000_008687.png,live,exp-20260310120827-5738,218.62357503819484,65.17558781126965,255.0,1.0812081325655187,513.926782756662,True,True,False,True,True,4,"mean_intensity,std_intensity,pct_zero,sharpness"
5738_0000_008703,images/5738_0000_008703.png,dead,exp-20260310120827-5738,238.29261675344625,28.894480697387326,255.0,0.18353382408681948,204.88932589983503,True,False,False,False,False,1,mean_intensity
5738_0000_008741,images/5738_0000_008741.png,live,exp-20260310120827-5738,245.8307146275323,27.80694029412533,255.0,0.19341202743659278,232.74518837215476,True,False,False,False,False,1,mean_intensity
5738_0000_008753,images/5738_0000_008753.png,live,exp-20260310120827-5738,242.18969676428955,27.746907354628235,255.0,0.18142307462269983,181.9922645519311,True,False,False,False,False,1,mean_intensity
5738_0000_008823,images/5738_0000_008823.png,live,exp-20260310120827-5738,250.4776479502313,26.202907816458254,255.0,0.18144839687350456,130.70353204033577,True,False,False,False,False,1,mean_intensity
5738_0000_008838,images/5738_0000_008838.png,live,exp-20260310120827-5738,245.79822147784822,26.49417936233653,255.0,0.1794473023088886,148.7601395559112,True,False,False,False,False,1,mean_intensity
5738_0000_008841,images/5738_0000_008841.png,live,exp-20260310120827-5738,239.38485011667564,28.521380653708864,255.0,0.19545663056702364,171.29567124788275,True,False,False,False,False,1,mean_intensity
5738_0000_008886,images/5738_0000_008886.png,live,exp-20260310120827-5738,231.9298550030914,28.937433599489683,255.0,0.18747880891122679,88.85720250029587,True,False,False,False,False,1,mean_intensity
5738_0000_013252,images/5738_0000_013252.png,live,exp-20260310120827-5738,242.27562006539597,27.920958922094275,255.0,0.18342770555865698,228.6930207090562,True,False,False,False,False,1,mean_intensity
5738_0000_017634,images/5738_0000_017634.png,dead,exp-20260310120827-5738,228.8306704166916,28.816079132236375,255.0,0.1894959407974787,66.67896917980113,True,False,False,False,False,1,mean_intensity
5738_0000_017786,images/5738_0000_017786.png,dead,exp-20260310120827-5738,211.90344827586208,73.69452662989742,255.0,1.168907071887785,484.9353079824193,True,True,False,True,True,4,"mean_intensity,std_intensity,pct_zero,sharpness"
5738_0000_021975,images/5738_0000_021975.png,live,exp-20260310120827-5738,243.7697247706422,28.413417296290987,255.0,0.18946948544076586,239.93548539189587,True,False,False,False,False,1,mean_intensity
5738_0000_022043,images/5738_0000_022043.png,dead,exp-20260310120827-5738,212.03506721215663,72.33830311114686,255.0,1.1221507890122735,156.57317292002344,True,True,False,True,False,3,"mean_intensity,std_intensity,pct_zero"
5738_0000_044684,images/5738_0000_044684.png,dead,exp-20260310120827-5738,207.08716291686613,32.80861897517218,255.0,0.18948460188287858,458.899232331443,False,False,False,False,True,1,sharpness
5738_0000_044696,images/5738_0000_044696.png,dead,exp-20260310120827-5738,202.20790182580066,32.37253251502323,255.0,0.1915594133492966,479.85871401413823,False,False,False,False,True,1,sharpness
5738_0000_044700,images/5738_0000_044700.png,live,exp-20260310120827-5738,211.85485221969606,32.8519576145901,255.0,0.18746759203861035,429.1192630987659,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_044701,images/5738_0000_044701.png,dead,exp-20260310120827-5738,206.9813548168385,33.34122639384139,255.0,0.1794723512872156,435.5220708977943,False,True,False,False,True,2,"std_intensity,sharpness"
5738_0000_044709,images/5738_0000_044709.png,live,exp-20260310120827-5738,215.04170156754816,29.31778578883362,255.0,0.20142794463723027,414.3961416553893,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_044714,images/5738_0000_044714.png,live,exp-20260310120827-5738,209.04729419743484,31.247699172222173,255.0,0.181517164342848,554.5746212390669,False,False,False,False,True,1,sharpness
5738_0000_044717,images/5738_0000_044717.png,live,exp-20260310120827-5738,211.81549138481174,32.94960440439726,255.0,0.20141991065730697,467.2559626516874,True,True,False,False,True,3,"mean_intensity,std_intensity,sharpness"
5738_0000_044746,images/5738_0000_044746.png,live,exp-20260310120827-5738,214.2498704198397,32.95455890943934,255.0,0.19337346995733823,420.83285224476265,True,True,False,False,True,3,"mean_intensity,std_intensity,sharpness"
5738_0000_044755,images/5738_0000_044755.png,dead,exp-20260310120827-5738,214.88033898305085,33.19856899528565,255.0,0.19142572283150547,330.799604414047,True,True,False,False,True,3,"mean_intensity,std_intensity,sharpness"
5738_0000_044792,images/5738_0000_044792.png,dead,exp-20260310120827-5738,201.2809114307947,31.91633638033684,255.0,0.18356311977493564,365.02835841087506,False,False,False,False,True,1,sharpness
5738_0000_044807,images/5738_0000_044807.png,live,exp-20260310120827-5738,201.37170862196314,31.039791944486687,255.0,0.2016249775417723,485.48091135023884,False,False,False,False,True,1,sharpness
5738_0000_044809,images/5738_0000_044809.png,dead,exp-20260310120827-5738,195.27159655812653,33.203484530140294,255.0,0.20363752520513484,268.6682313528163,False,True,False,False,False,1,std_intensity
5738_0000_044810,images/5738_0000_044810.png,dead,exp-20260310120827-5738,215.0604519435968,30.288925543073322,255.0,0.18548435349727757,520.44201141401,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_044811,images/5738_0000_044811.png,dead,exp-20260310120827-5738,218.69465389986036,30.458700514117155,255.0,0.18352284061440255,345.4685997439434,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_044827,images/5738_0000_044827.png,live,exp-20260310120827-5738,218.06177321232673,31.095694393288056,255.0,0.2074399122369602,603.7657276515016,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_044848,images/5738_0000_044848.png,dead,exp-20260310120827-5738,218.35035288488376,31.072335228026656,255.0,0.1894014912875314,545.0173634374613,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_044894,images/5738_0000_044894.png,dead,exp-20260310120827-5738,216.0966159491096,33.73144431429047,255.0,0.18944303746983868,398.14696628572955,True,True,False,False,True,3,"mean_intensity,std_intensity,sharpness"
5738_0000_044910,images/5738_0000_044910.png,live,exp-20260310120827-5738,221.04736747672496,30.469941340770703,255.0,0.19736448635394033,543.0054120511809,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_044914,images/5738_0000_044914.png,live,exp-20260310120827-5738,218.4222248808598,33.74551456576067,255.0,0.197403840401986,532.8015949006432,True,True,False,False,True,3,"mean_intensity,std_intensity,sharpness"
5738_0000_044931,images/5738_0000_044931.png,dead,exp-20260310120827-5738,231.58094098883572,31.504138034695018,255.0,0.1953748006379585,460.4435059608794,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_044983,images/5738_0000_044983.png,dead,exp-20260310120827-5738,224.16509480988177,32.03503636678315,255.0,0.19739596833688913,389.68459062927377,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_044988,images/5738_0000_044988.png,live,exp-20260310120827-5738,232.4232432971195,32.08200822323803,255.0,0.18937506229442838,511.8514188800028,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_045000,images/5738_0000_045000.png,dead,exp-20260310120827-5738,232.69372620163074,31.154450452726913,255.0,0.18540300233248938,617.4875837394476,True,False,False,False,True,2,"mean_intensity,sharpness"
5738_0000_045027,images/5738_0000_045027.png,dead,exp-20260310120827-5738,225.39361617289364,33.393642045726075,255.0,0.20136369073727023,595.8421055446242,True,True,False,False,True,3,"mean_intensity,std_intensity,sharpness"
5738_0000_045029,images/5738_0000_045029.png,dead,exp-20260310120827-5738,233.7050837320574,29.376432166264596,255.0,0.1854066985645933,462.8006819826014,True,False,False,False,True,2,"mean_intensity,sharpness"
