sample_id,split
9996_0001_048276,test
9996_0001_001255,test
9996_0001_009025,test
9996_0001_000683,test
9996_0001_000672,test
9996_0001_006769,test
9996_0001_050362,test
9996_0001_050017,test
9996_0001_016311,test
9996_0001_001733,test
9996_0001_014927,test
9996_0001_014387,test
9996_0001_048555,test
9996_0001_048983,test
9996_0001_010523,test
9996_0001_001014,test
9996_0001_049478,test
9996_0001_000807,test
9996_0001_047058,test
9996_0001_014953,test
9996_0001_008955,test
9996_0001_000138,test
9996_0001_016416,test
9996_0001_046523,test
9996_0001_000163,test
9996_0001_009060,test
9996_0001_018351,test
9996_0001_018195,test
9996_0001_000780,test
9996_0001_005512,test
9996_0001_048391,test
9996_0001_049223,test
9996_0001_049381,test
9996_0001_049835,val
9996_0001_046711,val
9996_0001_047178,val
9996_0001_002763,val
9996_0001_009116,val
9996_0001_005934,val
9996_0001_002776,val
9996_0001_006816,val
9996_0001_016080,val
9996_0001_007480,val
9996_0001_047724,val
9996_0001_001364,val
9996_0001_016010,val
9996_0001_009366,val
9996_0001_048315,val
9996_0001_045241,val
9996_0001_014670,val
9996_0001_010752,val
9996_0001_018652,val
9996_0001_016168,val
9996_0001_010666,val
9996_0001_048923,val
9996_0001_048981,val
9996_0001_005875,val
9996_0001_049387,val
9996_0001_006250,val
9996_0001_005752,val
9996_0001_009297,val
9996_0001_050583,val
9996_0001_005762,val
9996_0001_002483,val
9996_0001_006682,val
9996_0001_000990,val
9996_0001_001337,train
9996_0001_018029,train
9996_0001_010750,train
9996_0001_018788,train
9996_0001_007195,train
9996_0001_006249,train
9996_0001_050612,train
9996_0001_007420,train
9996_0001_018020,train
9996_0001_002463,train
9996_0001_001536,train
9996_0001_002155,train
9996_0001_001274,train
9996_0001_001663,train
9996_0001_000231,train
9996_0001_044873,train
9996_0001_048275,train
9996_0001_002731,train
9996_0001_018711,train
9996_0001_018640,train
9996_0001_001338,train
9996_0001_018140,train
9996_0001_001198,train
9996_0001_009074,train
9996_0001_050436,train
9996_0001_048294,train
9996_0001_004760,train
9996_0001_049760,train
9996_0001_005963,train
9996_0001_048603,train
9996_0001_002307,train
9996_0001_004536,train
